名称,地址,星级,区（县）,电话
大郊亭国际商务酒店,广渠东路168-1,三星,朝阳区,67729898
将台酒店,酒店桥路甲12号,三星,朝阳区,64345588
达园宾馆,福缘门一号,三星,海淀区,62561115
万寿庄宾馆,万寿路西街七号,三星,海淀区,68133322
大唐科苑宾馆,学院路40号三区25号楼,三星,海淀区,62301018
中协宾馆,法华寺街22号,三星,海淀区,68413355
物科宾馆,中关村南三街8号,三星,海淀区,82649140
五棵松饭店,西四环中路19号,三星,海淀区,51881188
凯瑞大酒店,复兴路14号,三星,海淀区,63967640
清华园宾馆,成府路45-1号,三星,海淀区,62573355
天天假日饭店,万寿路17号,三星,海淀区,68131166
上园饭店,高梁桥斜街40号,三星,海淀区,51555599
牡丹宾馆,花园东路31号,三星,海淀区,62025544
天佑丰顺宾馆,北蜂窝路甲15号,三星,海淀区,51829000
香青园商务会馆,蓝靛厂南路5号,三星,海淀区,88446688
梦溪宾馆,学院路20号,三星,海淀区,59933000
紫玉饭店,增光路55号,三星,海淀区,68411188
裕龙大酒店,阜成路40号,三星,海淀区,68415588
广东大厦,岭南路36号,三星,海淀区,68412288
北大资源燕园宾馆,颐和园路1号,三星,海淀区,82629988
实创西山科技培训中心,苏家坨镇凤凰岭路17号,三星,海淀区,62459811
科技会堂,复兴路3号,三星,海淀区,68518822
理工国际会议中心,北三环西路66号,三星,海淀区,68945611
瑞成大酒店,西翠路9号,三星,海淀区,68132255
北邮科技文化交流中心,西土城路10号,三星,海淀区,52810888
悦宏国际酒店,复兴路65号乙,三星,海淀区,88278800
万年青宾馆,西三环北路25号,三星,海淀区,68421144
新兴宾馆,西三环中路十七号,三星,海淀区,88236688
通联太和蜀中仙大酒店,北蜂窝中路17号,三星,海淀区,63966688
铁科嘉苑饭店,西直门外大柳树路6号,三星,海淀区,62272288
颐泉山庄宾馆,黑山沪羊场一号,三星,海淀区,62895533
隆格酒店,牡丹北里11号楼,三星,海淀区,62081177
润泽嘉业大酒店,海淀区荷清路3号,三星,海淀区,62520066
卧佛山庄,香山卧佛寺路,三星,海淀区,82596066
豪威大厦,北太平庄路25号,三星,海淀区,62014455
华夏明珠宾馆,莲花池东路120-1号,三星,丰台区,63955588
章丘海泰饭店,南峰窝水口子33号,三星,丰台区,63496688
燕岭宾馆,长辛店槐树岭四号院,三星,丰台区,83803355
哈特商务酒店,广安门外菜户营东街60号,三星,丰台区,63356000
金三环宾馆,南木樨园18号,三星,丰台区,67237711
侨园饭店,右外开阳路6号,三星,丰台区,63038861
冠京饭店,丰北路甲79号,三星,丰台区,83672999
华苑饭店,南苑路111号（三营门）,三星,丰台区,67991188
洋桥大厦,马家堡东路88号,三星,丰台区,51215588
国润商务酒店,丰台路口188号,三星,丰台区,63816666
悦都大酒店,六里桥甲1号,三星,丰台区,63497722
弘利苑大厦,六里桥1号,三星,丰台区,63367711
京铁大酒店,广莲路13号,三星,丰台区,63955511
京燕饭店,石景山路29号,三星,石景山,68876666
海特饭店,实兴东街1号,三星,石景山,68811188
运河源酒店,运河西大街172号,三星,通州区,81586668
正运通酒店,马驹桥镇杨秀店村北,三星,通州区,60502888
东方宾馆,车站路48号,三星,通州区,69546870
花水湾磁化温泉度假村,高丽营镇七村村委会东,三星,顺义区,69456668
顺义宾馆,顺义府前中街3号,三星,顺义区,69444815
空港蓝天酒店,空港工业区A区天柱路28号,三星,顺义区,80489108
东航大酒店,小天竺路1号,三星,顺义区,64575588
安利隆山庄,龙湾屯镇山里辛庄村东,三星,顺义区,60462323
金航线国际商务酒店,四纬路8号,三星,顺义区,52139999
天龙宾馆,后沙峪地区枯柳树村西,三星,顺义区,80494399
望潮苑民俗度假村,仁和镇河南村村东,三星,顺义区,89491981
空港豪雅商务酒店,天竺镇府前二街1号,三星,顺义区,64533388
东竹园宾馆,顺平东路3号,三星,顺义区,69448440
空港金航国际商务酒店,天竺镇府前二街南侧六号,三星,顺义区,58102333
华清温泉宾馆,东小口镇中滩村东,三星,昌平区,84826665
军都旅游度假村,水库路12号,三星,昌平区,60713338
北方长城宾馆,南口镇马坊村1号,三星,昌平区,80190398
财会之家,城区北环路,三星,昌平区,69716688
昆钰酒店,沙河镇沙阳路11号,三星,昌平区,59795238
地铁度假村,朝凤南路七号,三星,昌平区,60712288
瑶台温泉酒店,崔村镇棉山村北,三星,昌平区,60721188
虎峪园林山庄,南口镇虎峪园林山庄,三星,昌平区,69771100
且亭山水酒店,朝凤庵北路8号,三星,昌平区,60713865
龙山渡假村,昌怀路153号,三星,昌平区,89701118
中国石化会议中心,水库路21号,三星,昌平区,60713333
红栌温泉山庄,小汤山镇讲礼村西16号,三星,昌平区,61786555
龙脉温泉大酒店,小汤山镇大柳树村,三星,昌平区,61793888
益泉花园酒店,小汤山现代农业科技示范园东区,三星,昌平区,61793731
星光梅地亚酒店,西红门镇北兴路,三星,大兴区,60299777
龙凤轩大酒店,西红门镇肆村同华路8号,三星,大兴区,60249999
兴丰团河苑会议服务中心,团河路33号,三星,大兴区,61299988
源馨德润饭店,旧宫镇迎宾路2号,三星,大兴区,87963611
红恩度假村,亦庄镇小羊坊中路1号,三星,大兴区,87396660
颐年山庄,河北镇黄土坡村军工路,三星,房山区,66313126
北方温泉会议中心,良乡镇梅花街7号,三星,房山区,61353521
龙锐旅游度假山庄,十渡镇七渡村二区78号,三星,房山区,61344488
京铁十渡培训中心,十渡镇八渡村,三星,房山区,61347555
圣辉度假山庄,史家营乡圣米石塘,三星,房山区,60319511
德宝温泉会议中心,良乡多宝路1号,三星,房山区,69375500
笔架山培训中心,十渡镇九渡村,三星,房山区,61340240
凯悦莱温泉会议中心,长阳镇阳城环路16号,三星,房山区,80355758
金桥国际酒店,长阳镇昊天北大街48号,三星,房山区,80328888
隆泽园大酒店,良乡拱辰北大街33号,三星,房山区,89359875
圣聚城大酒店,琉璃河镇大街西侧,三星,房山区,89389880
平西培训中心,十渡镇十渡村,三星,房山区,61340888
中粮龙泉山庄,龙泉雾北,三星,门头沟,61886688
龙世源度假村,龙泉务野溪,三星,门头沟,61881591
京西晨光饭店,双峪路一号,三星,门头沟,69858383
双阳宾馆,青春路41号,三星,怀柔区,69642706
松秀园度假村,雁青路13号,三星,怀柔区,69662306
宫霄雁栖商务会馆,怀北镇雁秀路6号,三星,怀柔区,69665251
湖苑山庄,湖光小区25号,三星,怀柔区,69624871
红螺钟磬山庄,红螺路5号,三星,怀柔区,60681146
团圆假日饭店,青春路45号,三星,怀柔区,69620999
中影大酒店,杨宋镇凤和壹园8号,三星,怀柔区,61675555
栖湖饭店,雁栖湖雁秀路11号,三星,怀柔区,69661188
元亨苑林山庄,雁栖湖雁水路4号,三星,怀柔区,69661669
天昊源度假村,峪口镇峰云街5号,三星,平谷区,61988899
育新苑宾馆,金海湖镇韩庄北街3号,三星,平谷区,69991723
东晓新越酒店,乐园西小区17号,三星,平谷区,89992188
碧海山庄,金海湖畔,三星,平谷区,69991201
南华山庄,金海湖付坝南侧,三星,平谷区,60980288
密云水库宾馆,溪翁庄镇溪翁庄村,三星,密云县,69016655
世纪阳光假日酒店,滨河路26号,三星,密云县,89088888
文锦世博国际大酒店,滨河路46号,三星,密云县,89088333
云佛山度假村,溪翁庄镇东智西村,三星,密云县,89032255
雾灵山庄,新城子镇遥桥峪水库北,三星,密云县,81027777
云蒙山庄,市密云县水库坝西,三星,密云县,69010888
云湖度假村,溪翁庄镇水库内湖,三星,密云县,61021888
金地来商务会馆,新南路88号,三星,密云县,69050099
八达岭温泉度假村,妫水北街1号,三星,延庆县,69148833
中银酒店,庆园街12号,三星,延庆县,69171701
快乐假日大酒店,张山营镇黄柏寺村东,三星,延庆县,51055588
八达岭华风温泉大城堡,庆园街2号,三星,延庆县,69182266
开滦宾馆,永定门外松林街9号,二星,东城区,67210077
盛元香江酒店,青年湖北里5号,二星,东城区,84114466
瑞鑫宾馆,富建胡同甲1号,二星,东城区,65278704
芳豪饭店,左安门龙潭湖百果园15号,二星,东城区,67158855
永定门饭店,永外安乐林路77号,二星,东城区,51076688
西华智德饭店,北河沿大街智德北巷5号,二星,东城区,65259966
侣松园宾馆,宽街板厂胡同22号,二星,东城区,64040436
天讯饭店,安德路甲61号,二星,东城区,84115577
紫龙宾馆,西扬威胡同甲1号,二星,东城区,64045734
华热宾馆,南新华街58号5层,二星,西城区,83152277
广安门铁路宾馆,广安门外车站东街9号,二星,西城区,51923966
远东饭店,前门外铁树斜街90号,二星,西城区,51958811
华利佳合商务酒店,三里河一区乙68号,二星,西城区,68536118
平安里快捷酒店,群力胡同2号,二星,西城区,83280369
瑞驰大酒店,南新华街甲一号,二星,西城区,63022277
外事服务职业高中实习饭店,教育街1号,二星,西城区,66016663
京海饭店,太仆寺街71号,二星,西城区,66018822
华利佳合快捷酒店,西单北大街30号,二星,西城区,66078080
宁波宾馆,西中胡同25号,二星,西城区,66080608
护国寺宾馆,护国寺街125号,二星,西城区,59331588
同和居饭店,月坛南街乙71号,二星,西城区,68513377
石化宾馆,东京几道十号,二星,西城区,66015550
银岛饭店,月坛南街32号,二星,西城区,68521199
鼓楼快捷酒店,鼓楼西大街62号,二星,西城区,64026866
鑫园客栈,地安门外大街烟袋斜街21号,二星,西城区,64016972
西直门快捷酒店,西直门内大街168号,二星,西城区,66180227
西华月坛饭店,月坛南街69号,二星,西城区,68515218
天健宾馆,广安门外南街63号院,二星,西城区,51923531
新街口快捷酒店,新街口南大街130号,二星,西城区,83220816
欣燕都新街口店,新街口南大街44号,二星,西城区,8328.6661
天锋宾馆,和平门西中胡同41号,二星,西城区,66060022
同春园饭店,新街口外大街甲14号,二星,西城区,62353288
北纬饭店,西经路13号,二星,西城区,83152266
航鑫园宾馆,德胜门内大街羊房胡同9号,二星,西城区,83223331
凌奇宾馆,百万庄大街8号,二星,西城区,68332211
金泰之家甘家口店,北礼士路101号,二星,西城区,68331155
长晨园宾馆,长椿街1号,二星,西城区,83151230
华利佳合护国寺快捷酒店,新街口南大街148号,二星,西城区,83220936
建苑宾馆,六部口北新平胡同5号,二星,西城区,66053161
德胜门快捷酒店,德内西顺城街46号,二星,西城区,84084380
康桥饭店,双井北里14号,二星,朝阳区,67713355
佳丽饭店,酒仙桥乙21号,二星,朝阳区,64363399
巨龙光电宾馆,酒仙桥路3号,二星,朝阳区,64303311
乐游饭店,东三环南路13号,二星,朝阳区,67712266
金泰之家宾馆,广和南里二条9号,二星,朝阳区,67747088
圣天使酒店,向军北里四巷10号,二星,朝阳区,65919988
欣燕都建国门店,永安南里12号楼8栋,二星,朝阳区,65685577
世纪经典技术培训中心,双桥中路3号,二星,朝阳区,85390885
建科宾馆,安定门外兴化路甲2号,二星,朝阳区,84277799
华通新饭店,工体北路一号,二星,朝阳区,64157766
农展宾馆,东三环北路16号,二星,朝阳区,65096655
芙蓉宾馆,朝阳路十里堡,二星,朝阳区,65572921
国展宾馆,静安西街10号,二星,朝阳区,64639922
呼家楼宾馆,向军南里二巷5号,二星,朝阳区,65068833
太阳宫宾馆,安定门外甘水桥甲1号,二星,朝阳区,64237722
荣宝宾馆,日坛北路四号,二星,朝阳区,85634488
化工大学招待所,北三环东路15号,二星,朝阳区,64432233
枫林时尚酒店,将台路5号,二星,朝阳区,64322288
鸿雁宾馆,酒仙桥路5号,二星,朝阳区,64315550
金泰之家聚隆宾馆,三里屯南路116号,二星,朝阳区,65062142
台体宾馆,高粱桥路上园村甲4号,二星,海淀区,62259988
五道口宾馆,成府路23号,二星,海淀区,62316688
