工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
综合教研楼等6项（综合教研楼及配套设施）,中国移动通信有限公司、中国移动通信管理学院,北京建工集团有限责任公司,0639昌竣2016(建)0061号,昌平区住房城乡建设委,2016/8/9
平谷区生活垃圾综合处理厂工程,北京市平谷区市政市容管理委员会,青建集团股份公司,0638平竣2016(建)0012号,平谷区住房城乡建设委,2016/8/9
2#自住型商品房等9项（顺义区新城第19街区19-83-1、19-83-2、19-91地块R2二类居住用地、C2商业金融用地（配建限价商品房）（福环东侧）地块项目）,北京金地惠远房地产开发有限公司,北京城建远东建设投资集团有限公司,0637顺竣2016(建)0050号,顺义区住房城乡建设委,2016/8/8
7#生产车间楼等6项（军民结合高科技创新产业园）,北京红金荣科技发展有限公司,北京天恒建设工程有限公司,0636大竣2016(建)0072号,大兴区住房城乡建设委,2016/8/8
207号污水处理站等2项,北京天坛生物制品股份有限公司,北京市第五建筑工程集团有限公司,0635经竣2016(建)0071号,经济技术开发区建设局,2016/8/5
101号生产厂房等四项(除X67F1地块围墙）,北京天坛生物制品股份有限公司,北京市第五建筑工程集团有限公司,0634经竣2016(建)0070号,经济技术开发区建设局,2016/8/5
103号西区分冻包装车间（含动力中心一）,北京天坛生物制品股份有限公司,北京市第五建筑工程集团有限公司,0633经竣2016(建)0069号,经济技术开发区建设局,2016/8/5
展示厅等1项（北京亦庄保税物流中心展示厅项目）,博大世通国际物流（北京）有限公司,北京博大经开建设有限公司,0632经竣2016(建)0068号,经济技术开发区建设局,2016/8/5
青云店镇中心卫生院公共卫生门诊楼(北京市大兴区青云店镇中心卫生院新建公共卫生门诊楼项目核准的批复）,北京市大兴区青云店镇中心卫生院,北京万兴建筑集团有限公司,0631大竣2016(建)0071号,大兴区住房城乡建设委,2016/8/5
通州区轻轨L2线通州段两站一街定向安置房项目(北区)A2-3地块3-1#住宅楼等20项,北京星湖投资开发公司,湖南新华联建设工程有限公司,0630通竣2016(建)0076号,通州区住房城乡建设委,2016/8/5
北京市玻璃钢制品厂一期居住项目1#、4#人防出入口、34#清洁站,北京金隅嘉业房地产开发有限公司,北京韩建集团有限公司,0629通竣2016(建)0075号,通州区住房城乡建设委,2016/8/5
北京市玻璃钢制品厂一期居住项目5#人防出入口,北京金隅嘉业房地产开发有限公司,河北康城建设集团有限公司,0628通竣2016(建)0074号,通州区住房城乡建设委,2016/8/5
北京市玻璃钢制品厂一期居住项目1#锅炉房、2#、3#人防出入口,北京金隅嘉业房地产开发有限公司,北京市建筑装饰设计工程有限公司,0627通竣2016(建)0073号,通州区住房城乡建设委,2016/8/5
装修改造,北京博瑞祥悦汽车销售服务有限公司,中地长泰建设有限公司,0120朝竣2016(装)0113号,朝阳区住房城乡建设委,2016/8/5
