单位名称,许可备案号,许可有效期,注册地址,场所地址,法人姓名
北京杨庄电子游艺有限公司,通游11029号,2018-05-31,北京市通州区杨庄路100号,北京市通州区杨庄路100号,赵  江
北京精锐尚品文化传媒有限公司,通游12045号,2018-05-31,北京市通州区通胡大街11号-1五层E2室,北京市通州区通胡大街11号-1五层E2室,涂云琴
北京东方乐谭电子游艺有限责任公司,京密娱（游艺）〔2012〕0015号,2018-05-29,行宫街118号楼（三层）,北京市密云区行宫街118号楼（三层）,许晓芳
北京兴盛时代电子游艺有限公司,京兴娱（游艺）〔2012〕0031号,2018-05-21,北京市大兴区兴丰大街（三段西侧217-1）二层三层,北京市大兴区兴丰大街（三段西侧217-1）二层三层,郑乐臣
北京天赐富合电子游艺有限公司,通游11025号,2018-05-15,北京市通州区物资学院路6号,北京市通州区物资学院路6号,孙廷荣
北京奇乐电子游艺有限公司,京通娱（游艺）0005号,2018-05-10,北京市通州区怡乐中路242、244号1层,北京市通州区怡乐中路242、244号1层,王家纯
北京酷玩一家娱乐有限公司,门文游12006,2018-04-30,冯村商业街2070号,冯村商业街2070号,陈杰
北京浩昕添电子游戏有限公司,门文游12007,2018-04-30,滨河西区临镜苑1号商业楼,滨河西区临镜苑1号商业楼,柴光云
北京金泰先锋娱乐有限公司,海文游艺025号,2018-04-22,北京市海淀区万泉河路68号紫金大厦三层西区,北京市海淀区万泉河路68号紫金大厦三层西区,王兰英
北京胜利者电子游艺有限公司,通游11030号,2018-04-19,北京市通州区新华大街甲252号,北京市通州区新华大街甲252号,史建华
北京星乐时代动漫科技有限公司,通游11031号,2018-04-19,宋庄镇徐辛庄村委会西300米,宋庄镇徐辛庄村委会西300米,王泽强
北京华彩祥年电子游艺有限公司,京怀文娱0707,2018-04-10,北京市怀柔区南大街6号二层,北京市怀柔区南大街6号二层,崔广泉
北京假日火车娱乐城,京怀文娱201201,2018-04-07,怀柔区青春路甲68号楼3-5号地下一层,怀柔区青春路甲68号楼3-5号地下一层,胡焕柱
北京市通州区电影院,通游11003号,2018-02-28,北京市通州区西塔胡同1号,北京市通州区电影院,马月庆
北京小百灵娱乐中心,通游11007号,2018-02-28,北京市通州区云景东路51号福客隆超市四层,北京市通州区云景东路51号福客隆超市四层,徐  营
北京世嘉龙城电子游艺有限公司,通游11012号,2018-02-28,北京市通州区梨园北杨洼小区商业楼20号3层,北京市通州区梨园北杨洼小区商业楼20号3层,徐鹏
北京喜碧汇电子游艺有限公司,通游11028号,2018-02-28,车站路42号一层,车站路42号一层,周健
北京欢乐太阳谷电子游艺有限公司,通游12038号,2018-02-28,北京市通州区新华南路155号二层,北京市通州区新华南路155号二层,刘建平
北京泓悦兴国际酒店管理有限公司,通游11006号,2018-02-25,北京市通州区通朝大街107号109号111号,北京市通州区通朝大街107号109号111号,骆光荣
北京佰利鑫辉电子游艺有限公司,京通娱（游艺）0004号,2018-02-24,北京市通州区通胡大街15号院7号楼F2-04、F2-05,北京市通州区通胡大街15号院7号楼F2-04、F2-05,张春雷
北京泽洋金傲文化传播有限公司,通游11008号,2018-02-24,北京市通州区新华南路204号4层,北京市通州区新华南路204号4层,林春香
北京六月谷电子游艺有限公司,通游11017号,2018-02-24,北京市通州区潞苑南大街商59号一层,北京市通州区潞苑南大街商59号一层,魏  恒
北京七彩风云娱乐有限公司,通游11020号,2018-02-24,北京市通州区北杨洼小区19号楼B座,北京市通州区北杨洼小区19号楼B座,闫善坤
北京酷玩天堂电子游艺厅有限公司,通游11023号,2018-02-24,北京市通州区张家湾镇光华路西侧57号二层,北京市通州区张家湾镇光华路西侧57号二层,滕雪峰
北京百尚乐园玩具设备租赁中心有限公司,通游12043号,2018-02-24,北京市通州区马驹桥镇兴华中街北侧（潼关三区）9号三层,北京市通州区马驹桥镇兴华中街北侧（潼关三区）9号三层,周尤志
烈焰时代（北京）娱乐有限公司,通游12044号,2018-02-24,北京市通州区永顺西街89号院7号楼甲6号-甲7号,北京市通州区永顺西街89号院7号楼甲6号-甲7号,武林松
北京鑫顺腾达电子游艺有限公司,通游12046号,2018-02-24,北京市通州区宋庄镇宋庄村158号,北京市通州区宋庄镇宋庄村158号,傅维锋
北京乐酷地带电子游艺有限公司,怀文娱201107,2018-02-15,怀柔区庙城镇庙城村12号,怀柔区庙城镇庙城村12号,李娜
北京迎宾健身俱乐部,怀文娱0705,2018-01-26,怀柔区商业街28号楼,怀柔区商业街28号楼,王登闯
北京星尚佳电子游艺有限公司,京兴娱（游艺）0055号,2018-01-25,北京市大兴区旧宫镇庑殿家苑公建1号楼,北京市大兴区旧宫镇庑殿家苑公建1号楼,初历超
北京顺天龙腾电子游艺有限公司,房文游001,2018-01-24,房山区阎村镇大董村综合商业楼2号,房山区阎村镇大董村综合商业楼2号,高承建
北京和顺守和电子游艺厅,房文游002,2018-01-24,北京市房山区城关街道农林路1号,北京市房山区城关街道农林路1号,董刚
北京炫酷达人游艺娱乐有限公司,房文游003,2018-01-24,北京市房山区城关镇永安路1号对面,北京市房山区城关镇永安路1号对面,郭迁
北京月华电子游艺有限公司,房文游004,2018-01-24,北京市房山区良乡地区月华南大街10号（B区）二层,,史克华
北京欢乐鸿运电子游艺有限公司,房文游005,2018-01-24,北京市房山区良乡地区拱辰大街94号（三层）,北京市房山区良乡地区拱辰大街94号（三层）,边洪刚
北京金色昊天电子游艺有限公司,房文游006,2018-01-24,北京市房山区良乡昊天大街56号,北京市房山区良乡昊天大街56号,李成兵
北京梦幻星河电子科技发展有限公司,房文游007,2018-01-24,北京市房山区城关南大街6号,北京市房山区城关南大街6号,李民
北京君悦伙伴电子游艺厅,房文游008,2018-01-24,北京市房山区城关南大街55号,北京市房山区城关南大街55号,苏小雪
北京欢乐兔电子游艺厅,房文游009,2018-01-24,北京市房山区良乡地区西潞南大街10号,北京市房山区良乡地区西潞南大街10号,杜洪列
北京酷时代达人游艺娱乐有限公司,房文游010,2018-01-24,北京市房山区拱辰街道北关西路14号1幢,,郑林
北京奇域空间电子游艺有限公司,房文游011,2018-01-24,北京市房山区良乡镇西潞北大街28号地下一层,北京市房山区良乡镇西潞北大街28号地下一层,郑佑光
北京众邦乾来娱乐有限公司,房文游012,2018-01-24,北京市房山区良乡地区拱辰大街90号美奥美商城一层,北京市房山区良乡地区拱辰大街90号美奥美商城一层,纪鹏飞
北京乐其电子游艺有限公司,房文游014,2018-01-24,北京市房山区良乡西潞北大街89号盛川大厦二层,北京市房山区良乡西潞北大街89号盛川大厦二层,袁永恒
